id,title,year,category,publication_type,primary_url,code_url
dex-x,Dex-X: Learning Visual-Tactile Dexterous Manipulation From Human Videos with Simulated Interaction,2026,tactile-vla,preprint,https://arxiv.org/abs/2609.07747v2,
forcedelta-vla,ForceDelta-VLA: Distilling Force-Conditioned Action Corrections for Contact-Rich Manipulation,2026,tactile-vla,preprint,https://arxiv.org/abs/2609.18242v1,
forcevla,ForceVLA: Enhancing VLA Models with a Force-aware MoE for Contact-rich Manipulation,2025,tactile-vla,conference,https://arxiv.org/abs/2505.22159,
favla,FAVLA: A Force-Adaptive Fast-Slow VLA model for Contact-Rich Robotic Manipulation,2026,tactile-vla,preprint,https://arxiv.org/abs/2602.23648,
implicitrdp,ImplicitRDP: An End-to-End Visual-Force Diffusion Policy with Structural Slow-Fast Learning,2026,tactile-vla,journal,https://arxiv.org/abs/2512.10946,https://github.com/Chen-Wendi/ImplicitRDP
unidex-vitac,UniDex-ViTac: Learning Unified Visuo-Tactile Dexterous Manipulation Policy from Human Video Data,2026,tactile-vla,preprint,https://arxiv.org/abs/2609.16504v1,
tactile-vla,Tactile-VLA: Unlocking Vision-Language-Action Model's Physical Knowledge for Tactile Generalization,2025,tactile-vla,preprint,https://arxiv.org/abs/2507.09160,
tla,TLA: Tactile-Language-Action Model for Contact-Rich Manipulation,2025,tactile-vla,preprint,https://arxiv.org/abs/2503.08548,
vtla,VTLA: Vision-Tactile-Language-Action Model with Preference Learning for Insertion Manipulation,2025,tactile-vla,preprint,https://arxiv.org/abs/2505.09577,
vla-touch,VLA-Touch: Enhancing Vision-Language-Action Models with Dual-Level Tactile Feedback,2025,tactile-vla,preprint,https://arxiv.org/abs/2507.17294,https://github.com/jxbi1010/VLA-Touch
omnivtla,OmniVTLA: Vision-Tactile-Language-Action Models with Semantic-Aligned Tactile Sensing,2025,tactile-vla,preprint,https://arxiv.org/abs/2508.08706,
retouch,ReTouch: Empowering Contact-Rich Dexterous Manipulation with Online-Refined Tactile Prediction,2026,tactile-vla,preprint,https://arxiv.org/abs/2608.01824,
vitar,ViTaR: Visuo-Tactile Residual Adaptation for Foundation VLA Manipulation,2026,tactile-vla,preprint,https://arxiv.org/abs/2608.15816,
tacforcing,TacForcing: Streaming Action Generation with Execution-Time Tactile Feedback,2026,tactile-vla,preprint,https://arxiv.org/abs/2608.25798,
palm-e,PaLM-E: An Embodied Multimodal Language Model,2023,multimodal-policy,conference,https://arxiv.org/abs/2303.03378,
roboflamingo,RoboFlamingo: Bridging the Vision-Language Gap in Robotic Manipulation via Vision-Language Models,2023,multimodal-policy,preprint,https://arxiv.org/abs/2311.01378,
